Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: Metamanagement : 	Autor: Kofman, Fredy	Subtitulo_libro: la nueva conciencia de los negocios.	Cantidad ejemplares: 4	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 38
Titulo_libro: Práctica societaria 2005 : 	Autor: Nieto, Oscar	Subtitulo_libro: civiles, comerciales de ahorro y préstamo.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 39
Titulo_libro: Liquidación de los impuestos a las ganancias, sobre los bienes personales y a la ganancia mínima presunta.	Autor: Grenabuena, Silvia R	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 2005.	biblioitemnumber: 40
Titulo_libro: Comprender los mercados de futuros.	Autor: Puig, Xavier	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 3ra.ed.	Año_publicacion: 2001.	biblioitemnumber: 41
Titulo_libro: Fundamentos de finanzas corporativas.	Autor: Brealey, Richard A.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 4ta.ed.	Año_publicacion: 2004.	biblioitemnumber: 42
Titulo_libro: Marketing : 	Autor: Santesmases Mestre, Miguel	Subtitulo_libro: conceptos y estrategias.	Cantidad ejemplares: 2	Edicion: 2da.ed.	Año_publicacion: 2004.	biblioitemnumber: 43
Titulo_libro: La Argentina ilusionada : 	Autor: Alen Lascano, Luis C.	Subtitulo_libro: 1922-1930.	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1977.	biblioitemnumber: 44
Titulo_libro: Sociedades accidentales o en participación.	Autor: Anaya, Jaime L	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1970.	biblioitemnumber: 45
Titulo_libro: Dependencias y estructura de clases en América Latina.	Autor: Anda, Enrique	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1975.	biblioitemnumber: 46
Titulo_libro: ABC del exportador.	Autor: sin datos	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1955.	biblioitemnumber: 47
Titulo_libro: Tablas de logaritmos a cinco decimales.	Autor: Houel, J.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1966.	biblioitemnumber: 48
Titulo_libro: Curso de cálculo integral.	Autor: Miguel Y Merino, Pablo	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: 1959.	biblioitemnumber: 49
Titulo_libro: Derecho del trabajo y previsión social : 	Autor: Antokoletz, Daniel	Subtitulo_libro: derecho argentino y comparado, con referencias especiales a las repúblicas americanas.	Cantidad ejemplares: 3	Edicion: 2da.ed.	Año_publicacion: 1953.	biblioitemnumber: 50
