Titulo del libro;Autor;Subtitulo del libro;Ejemplares disponibles;Edicion;Año publicacion
El hombre y la riqueza  ;Lopez Gento, José;síntesis comparativa de doctrinas económicas.;1;1a.;1943
Principios de comercialización.;Ryan, William T;sin informacion;2;1ra.;1974
La restauración económica del mundo de la postguerra.;Hawtrey, R.G.;sin informacion;1;1a.;1948
Control de los gastos públicos  ;Rebeollo Paz, León;atribuciones del Tribunal de Cuentas de la Nación.;1;1a.;[199-]
Cambios, monedas y bancos.;Antille, Armando G.;sin informacion;1;1a.;1935
El hombre y la economía.;Mundell, Robert A.;sin informacion;1;1a.;1968
Mercado cambiario e inflación  ;Arnaud,Aldo A.;Argentina, 1967-71.;1;1a.;1975
Organización Monetaria de la Comunidad Económica Europea.;sin informacion;sin informacion;1;1a.;1974
Introduction to business readings.;Monsen, R. Joseph;sin informacion;1;1a.;1967
Los fraudes al comercio y la industria.;Rotman, Edgardo;sin informacion;1;1a.;1974
Reconsideración de la teoría del desarrollo.;Owes, Edgar;sin informacion;1;1a.;1972
Principios de economía.;Taussig, F.W.;sin informacion;1;1a.;1951
Money and economic activity  ;Ritter, Lawrence S.;readings in money and banking.;1;2da.;1961
Teoria y método en economía.;Zeuthen, F;sin informacion;1;1ra.;1960
Principios y fundamentos de marketing.;Glasser, Ralph;sin informacion;1;1ra.;1968
La programación lineal en el proceso de decisión.;Marin, Isidoro;sin informacion;1;1ra.;1966
Diccionario de filosofía.;Ferrater Mora, José;sin informacion;1;4ta.;1958
El estudio de la humanidad.;Chase, Stuart;sin informacion;1;1ra.;1956
Nuevos horizontes del trabajador norteamericano.;Beirne, Joseph A.;sin informacion;1;1ra.;1964
La metrópoli del futuro.;Rodwin, Lloyd;sin informacion;1;1ra.;1964
Evolución de la libertad.;Pound, Roscoe;sin informacion;1;1ra.;1964
Democracia y sindicalismo.;Gonzalez Navarro, José;sin informacion;1;1ra.;1964
Introducción a la filosofía de la matemática.;Korner, Stephan;sin informacion;1;1ra.;1967
Introducción a la lógica.;Menne, Albert;sin informacion;1;1ra.;1969
El proceso político norteamericano.;Penniman, Howard R.;sin informacion;1;1ra.;[1962]
Diagnóstico de nuestro tiempo.;Mannheim, Karl;sin informacion;1;1ra.;1966
Sindicatos e industrias.;Kassalow, Everett M.;sin informacion;1;1ra.;1969
Ejercicios de lógica.;Moreno, Alberto;sin informacion;1;2da.;1973
Filosofía, cultura y vida.;Durant, Will;sin informacion;1;1ra.;1945
El panafricanismo.;Decraene, Philippe;sin informacion;1;1ra.;1959
La voz de la América Latina.;Benton, William;sin informacion;1;1ra.;1963
Medicos para el mundo  ;Morgan, Murray;de Perú a Ginebra.;1;1ra.;1958
Moral social.;Hostos, Eugenio M.;sin informacion;1;1ra.;1950
Manual de geografía general  ;Allix, André;física, humana y económica.;1;2da.;1956
Goegrafía general, regional y económica.;Case, Earl C.;sin informacion;1;1ra.;1949
Recursos e industrias del mundo.;Zimmerman, Erich W.;sin informacion;1;1ra.;1957
Geografia de la actividad económica  ;Thoman, Richard S.;Introducción a un estudio mundial.;2;1ra.;[2003]
Geografía económica.;Jones, Clarence Fielden;sin informacion;1;3ra.;1955
Balance de un siglo 1886-1986.;sin informacion;sin informacion;2;1ra.;1986
Cincuentenario del Banco Central de la República Argentina  ;sin informacion;1935-1985.;1;1ra.;1986
Manual teórico-práctico de procedimiento tributario en el orden federal.;Celdeiro, Ernesto Carlos;sin informacion;1;1ra.;1987
