autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Rabinovich, Marcos";"Impuesto a los réditos : ";"exposición y comentario.";1;1ra.ed.;1957.;154
"Raimondi, Carlos A";"Legislación del trabajo.";;2;1ra.ed.;1952.;155
"Reyes, Rafael Hugo";"Derechos individuales del socio.";;1;3ra.ed.;1993.;156
"Rivacoba y Rivacoba, Manuel De";"Las ideas penales de Blasco Ibañez.";;1;1ra.ed.;1966.;157
"Rodriguez, Alfredo C.";"Ley de entidades financieras N° 21526.";;2;1ra.ed.;1977.;158
"Rodríguez, Roberto Mario";"Introducción a la contabilidad superior.";;4;1ra.ed.;1986.;159
"Rodríguez, Hugo Miguel";"Análisis estadístico demográfico para las tomas de decisiones.";;1;1ra.ed.;1982.;160
"Rodriguez, Alfredo C.";"El sistema financiero argentino : ";"estructuras, leyes y normas.";4;1ra.ed.;1978.;161
"Romero, Luis Alberto";"La felíz experiencia : ";1820-1824.;1;1ra.ed.;1976.;162
"Rosa, José María";"Análisis histórico de la independencia argentina.";;1;4ta.ed.;1974.;163
"Roulet, Jorge Esteban";"La incidencia del rol del estado en la administración pública.";;2;1ra.ed.;1988.;164
"Rube, Julio Horacio";"Hacia Caseros : ";1850-1852.;1;1ra.ed.;1978.;165
"Saenz, Jimena";"Entre dos centenarios : ";1910-1916.;1;1ra.ed.;1976.;166
"Saenz Quesada, María";"La república dividida : ";1852-1855.;1;1ra.ed.;1979.;167
"Salgado, Raúl C.";"Una metodología para el análisis de sistemas.";;5;1ra.ed.;1977.;168
"Sánchez Ramos, Eusebio";"Tabla de logaritmos, trigonométricos y de cálculo de intereses.";;1;10ma.ed.;1935.;169
"Sanguinetti, Horacio";"La democracia ficta : ";1930-1938.;1;1ra.ed.;1977.;170
"Saravi, Mario Guillermo";"La suma del poder : ";1835-1840.;1;1ra.ed.;1981.;171
"Scenna, Miguel Ángel";"Las brevas maduras : ";1804-1810.;1;1ra.ed.;1977.;172
"Segreti, Carlos S.A.";"La aurora de la Independencia : ";1810-1815.;1;1ra.ed.;1980.;173
"Segreti, Carlos S.A.";"La aurora de la Independencia : ";1810-1815.;1;1ra.ed.;[199-].;174
"Semon, Juan M";"Nuevo derecho accionario y de ""Konzern"" de Alemania.";;3;1ra.ed.;1969.;175
"Senderovich, Isaac Aizik";"Ajuste contable por inflación.";;6;1ra.ed.;1980.;176
"Seoane, José A.";"Diagramación lógica : ";"lenguaje Cobol, Fortran.";1;1ra.ed.;1979.;177
"Seoane, José A.";"Sistemas informáticos.";;14;1ra.ed.;1981.;178
"Solana, Ricardo F";"Teoría de la administración de organizaciones.";;15;1ra.ed.;1978.;179
"Sortheix, J.";Estadística.;;1;1ra.ed.;[19--].;180
"Tinbergen, Jan";"Política económica : ";"principios y formulación.";3;1ra.ed.;1961.;181
"Vacarezza, Juan Carlos";"Manual para la gestión profesional y empresaria : ";"administrativa, contable, societaria-impositiva, laboral.";2;1ra.ed.;1980.;182
"Vázquez Iruzubieta, Carlos";"Leyes penales.";;1;1ra.ed.;1973.;183
"Wainstein, Mario";"Manual de ajuste por inflación de los estados contables.";;2;2da.ed.;1980.;184
