LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Cotliar, Jorge E.	Programación por camino crítico en sistemas de administración.	1
Solanet, Manuel A	Evaluación económica de proyectos de inversión.	3
Gonzalez Gale, José	Probabilidades y diferencias finitas.	2
Collazo, Oscar Juan	Administración pública.	15
Bogo, Héctor Mario	Desiciones en comercialización :	6
Claret De Voogd, Lilia	La organización mundial y la paz.	1
Dorfman, Miguel	La reforma económica y sus resultados 1989-1993.	3
Zimmerman, Erich W	Introducción a los recursos mundiales.	3
Lavia, Osvaldo N.	Manual de IVA.	1
Schindel, Ángel	Ajuste impositivo por inflación.	3
Noli, Roberto R.	El régimen fiscal y las sociedades de capital.	2
Jarach, Dino	Curso de derecho tributario.	4
Munier, Nolberto Juan	PERT - CPM y técnicas relacionadas.	1
Recondo, Gregorio	Sociología y Ciencias Sociales :	3
Saroka, Raúl Horacio	Glosario de informática.	1
	Seminario EDI' 90 agrario. Intercambio electrónico de datos :	2
Rubio, Valentín	Manual de asignaciones familiares.	8
Borda, Guillermo A	Manual de contratos.	2
	Leyes laborales :	4
	Leyes laborales :	5
López Santiso, Horacio	Ensayos sobre técnica contable.	4
Rubio, Valentín	Legislación laboral y previsional :	6
Rubio, Valentín	El despido :	6
Verón, Alberto Víctor	Sociedades anónimas de familia.	2
Verón, Alberto Víctor	Sociedades anónimas de familia.	2
Verón, Alberto Víctor	Sociedades anónimas de familia.	2
Raimondi, Carlos A.	El nuevo impuesto al valor agregado.	10
Samuelson, Paul Anthony	Curso de economía moderna :	2
Samuelson, Paul Anthony	Curso de economía moderna :	1
Samuelson, Paul Anthony	Curso de economía moderna :	13
Van Horne, James C.	Fundamentos de administración finaciera.	4
Van Horne, James C.	Administración financiera.	6
Carlevari, Isidro J.F.	Geografía económica Mundial y Argentina.	15
Carlevari, Isidro J.F.	Geografía económica Mundial y Argentina.	3
Lazzati, Santiago C.	Contabilidad e inflación.	11
Gist, Ronald R.	Mercadotecnia :	2
Vázquez Vialard, Antonio	Derecho del trabajo y seguridad social.	5
Vázquez Vialard, Antonio	Derecho del trabajo y seguridad social.	5
Reig, Enrique Jorge	Impuesto a las ganancias.	1
Reig, Enrique Jorge	Impuesto a las ganancias.	3
Reig, Enrique Jorge	Impuesto a las ganancias.	3
Borda, Guillermo A	Manual de derecho civil :	2
Borda, Guillermo A	Manual de derecho civil :	6
Borda, Guillermo A	Manual de derecho civil :	2
Gambetta, Oscar A.	Introducción al control empresario :	6
Parro, Nereo Roberto	Presupuesto base cero.	2
Maino, Gerardo H.	La empresa agropecuaria.	14
	Evolución de la delincuencia terrorista en la Argentina.	2
Perel, Vicente L.	Organización y control de empresas.	2
Perel, Vicente L.	Organización y control de empresas.	11
Luchessa, Héctor	Diagnóstico :	3
Zaldivar, Enrique	Cuadernos de derecho societario :	4
Zaldivar, Enrique	Cuadernos de derecho societario :	6
Zaldivar, Enrique	Cuadernos de derecho societario :	1
Zaldivar, Enrique	Cuadernos de derecho societario :	1
Senderovich, Isaac Aizik	Presupuesto base cero :	5
Salvatore, Dominick	Teoría y problemas de microeconomía.	11
Saroka, Raúl Horacio	Los organigramas :	16
Pereira Pinto, Juan Carlos	Breve historia económica y social :	2
Pereira Pinto, Juan Carlos	Breve historia económica y social :	2
Pereira Pinto, Juan Carlos	Breve historia económica y social :	21
Pereira Pinto, Juan Carlos	Aspectos dela historia económica de la República Argentina durante los últimos setenta años (1900-1971)	10
Cibotti, Ricardo	El sector público en la planificación del desarrollo.	2
Cibotti, Ricardo	El sector público en la planificación del desarrollo.	4
Raimondi, Carlos A.	El impuesto a las ganancias.	7
Fowler Newton, Enrique	Cuestiones contables fundamentales.	26
Kandel, Pablo	Claves en la economía argentina 1810-1983.	2
Dromi, José Roberto	Derecho administrativo económico.	12
Dromi, José Roberto	Derecho administrativo económico.	8
Dromi, José Roberto	Instituciones de derecho administrativo.	31
Bunge, Mario	La ciencia :	5
Bisang, Roberto	Las actividades de investigación en las Universidades Nacionales.	1
	Jornadas de investigación y trabajo científico y técnico.	1
	Quintas jornadas de investigación y trabajo científico y técnico.	1
	Collins :	2
Calvet Segui, Juan	Diccionario términos y conceptos más usuales en mecanización administrativa :	1
	Anales :	1
	Anales de la Academia Nacional de Derecho y Ciencias Sociales de Córdoba :	1
	Guía de instituciones que revelan o recopilan estadísticas de Mendoza.	1
Gil, Juan Ángel	Historia de la Asociación Interamericana de Contabilidad.	1
	Institutos, programas, servicios :	1
Apel, Karl Otto	Estudios éticos.	1
Bunge, Mario	Causalidad :	2
Garcia Morente, Manuel	Lecciones preliminares de filosofía.	2
Marias, Julián	Historia de la filosofía.	1
Reichenbach, Hans	La filosofía científica.	2
Romero, Francisco	Lógica y nociones de teoría del conocimiento.	1
Romero, Francisco	Lógica e introducción a la problemática filosófica.	3
Romero, Francisco	Lógica e introducción a la problemática filosófica.	2
Romero, Francisco	Lógica y nociones de teoría del conocimiento.	1
Fatone, Vicente	Lógica e introducción a la filosofía.	3
De Gortari, Eli	Iniciación a la lógica.	7
Copi, Irving M	Introducción a la lógica.	4
Copi, Irving M	Introducción a la lógica.	1
Copi, Irving M	Introducción a la lógica.	2
Copi, Irving M.	Introducción a la lógica.	1
Copi, Irving M	Introducción a la lógica.	1
Copi, Irving M	Introducción a la lógica.	1
Viet, Jean	Los métodos estructuralistas en las ciencias sociales.	4
Moreno, Alberto	Lógica matemática :	7
Hessen, Johannes	Teoría del conocimiento.	2
Gomez, Ricardo J.	Las teorías científicas :	1
Russell, Bertrand	Nuestro conocimiento del mundo externo :	1
Cafiero, Antonio	Desarrollo humano :	1
Barbieri, Lázaro	Introducción al estudio de la sociología.	1
Santamaria, Daniel J.	Guía de lecturas para introducción a las ciencias sociales.	10
Cabrerizo Plaza, Jesús	El futuro anticipado :	1
Barbieri, Lázaro	Sociología del trabajo :	1
Jackson, J.A.	Estratificación social.	1
Imaz, José Luis De	Los que mandan.	6
Suarez, Francisco M.	Los economistas argentinos :	1
Bresciani Turroni, C	Curso de economía política.	2
Perroux, Francois	La economía del siglo XX.	1
Becker, Gary S	Teoría económica.	5
	Ponencias libres :	1
	Ponencias libres :	1
	Censo nacional económico 1974 :	3
	Estadísticas de exportación de los países de la Aladi 1980-1982.	2
	Estadísticas de intercambio comercial de los paises latinoamericanos 1980-1984.	1
	Estadísticas de intercambio comercial de los países latinoamericanos 1980-1983.	1
	La pobreza en la Argentina :	1
	La actividad estadística en la República Argentina 1950-1983.	1
Vázquez Presedo, Vicente	Estadísticas históricas argentinas (comparadas)	5
Vazquez Presedo, Vicente	Estadísticas históricas argentinas (comparadas)	5
Dudley Stamp, Laurence	Población mundial y recursos naturales :	1
	El proceso de integración en América Latina en 1985.	1
	Reunión centroamericana sobre compras del estado y exportación de servicios, real en San José de Costa Rica del 27 al 30 de noviembre de 1983.	1
Gordillo, Agustín A.	Planificación, participación y libertad en el proceso de cambio.	5
Demicheli, Alberto	Formación nacional argentina.	1
Barros De Castro, Antonio	Introducción a la economía :	2
Bresciani Turroni, C	Curso de economía política.	2
Benham, Frederic	Curso superior de economía.	1
Barros De Castro, Antonio	Introducción a la economía :	4
Barros De Castro, Antonio	Introducción a la economía :	2
Ackley, Gardner	Teoría macroeconómica.	19
Barros De Castro, Antonio	Introducción a la economía :	3
	Memoria :	2
	Memoria :	2
	Memoria :	2
	Memoria :	2
	Memoria :	2
Vicens Vives, J.	Tratado general de geopolítica :	2
Cichero, Mario Alberto	Introducción a la economía política y a la legislación económica y laboral argentina.	1
Brandis, Royall	Economía :	1
Cornejo, Benjamín	Manual de economía política.	3
Brooman, F. S	Macroeconomía.	7
	Vigésima reunión anual de la Asociación Argentina de Economía Política.	1
Barre, Raymond	Economía política.	1
Barre, Raymond	Economía política.	1
Barre, Raymond	Economía política.	1
Ferguson, C. E	Principios de economía.	1
Lago, Armando V	Microeconomía.	24
Flouzat, Denise	Economía contemporánea.	3
Di Tella, Guido	Los ciclos económicos argentinos.	3
