LISTADO DE LIBROS DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS ECONOMICAS		
Autor	Titulo de libro	Cant Ejemplar
Kenton, John	Manual universal de circuitos integrados.	1
Frick Knoll, Otto	Construcción de edificios.	2
	Análisis de metales :	1
Berl, Ernst	Métodos de análisis químico industrial.	2
Lajtin, Yu. M	Metalografía y tratamiento térmico de los metales.	1
Vidal, Jorge	Vida humana (anatomía y fisiología) :	1
	Ciencias Naturales EGB7.	1
	Ciencias Naturales EGB 8.	2
	Historia :	5
	Manual del aluminio.	1
Bos, Héctor	Aceros :	1
	Tecnología de la madera :	3
Ferro, José Lucas A	Metalurgia y materiales para construcciones mecánicas.	5
	Ciencias naturales y tecnología 7 :	1
	El libro de la sociedad en el tiempo y el espacio 7.	1
	El libro de la sociedad en el tiempo y el espacio 7.	1
	Código de minería comentado.	5
Sobrevila, Marcelo Antonio	Instalaciones eléctricas.	12
Guerrero Fernández, Alberto	Instalaciones eléctricas en las edificaciones.	1
Sobrevila, Marcelo Antonio	Instalaciones eléctricas.	1
	Historia :	1
	Constitución de la Nación Argentina.	31
Alonso, María Ernestina	Historia :	8
Alcántara, Lidia E	Aritmética y álgebra III.	1
	Ciencias sociales 7 :	2
Guerrero, Agustín	Tumbas de papel.	1
Basset, J	Ghost stories.	1
Shakespeare, William	Julio César.	1
Barret, François	Historia del trabajo.	1
Rodó, José Enrique	La tradición intelectual argentina.	3
Yuspa, Ilda Nelly	La biblioteca escolar.	1
Carilla, Emilio	Genio y figura de Baldomero Fernández Moreno.	1
Hughes, Donald J	Historia del neutrón.	2
Davis, Kenneth S	Agua :	2
	Manual atlas Copco :	1
Madariaga, Salvador de	Hernán Cortés.	1
	Paint Shop Pro 5 :	1
Sábato, Ernesto	El túnel.	1
Kafka, Franz	La metamorfosis y otros relatos.	1
Margulis, Mario	Migración y marginalidad en la sociedad argentina.	1
Brentano, Francisco	El origen del conocimiento moral.	1
	Educación superior :	1
Vázquez de Fernández, Silvia	El mundo, América, la Argentina :	3
	Poesía lírica del siglo XX :	1
	Poesía social del siglo XX :	1
Pereda, José María de	Peñas arriba.	1
Samatan, Marta Elena	Autodidactos :	1
Willems, Edgar	La preparación musical de los más pequeños.	1
Selva, Juan B	Analogía.	1
Ajon, Andrea	Geografía 5: el territorio argentino ayer y hoy.	1
Mastrangelo, Carlos	Veinticinco cuentos argentinos magistrales :	1
Cosmelli Ibañez, José	Historia 1 :	13
Cabrera, Horacio L	Las rocas, los minerales y la química.	1
Toker, Eliahu	Seis millones de veces uno :	1
Tarradellas, Enric Banda	Geología.	1
	La contaminación.	1
Biasioli, Gladys D. A. de	Química :	11
Galletti, Alfredo	Vida e imagen de Roca.	1
Bunkley, Allison Williams	Vida de Sarmiento.	1
Battan, Louis J	La naturaleza de las tormentas.	1
Bitter, Francis	Imanes.	1
Cortez Conde, Roberto	La formación de la Argentina moderna.	1
Dagnino Pastore, Lorenzo	Geografía :	1
Gómez, Germán	Ejercicios y problemas de matemática para cuarto grado.	1
Maiztegui, Alberto P	Física 2.	1
Fisher, Robert	El caballero de la armadura oxidada.	10
	Geografía :	4
	Formación ética y ciudadana 8.	5
	Formación ética y ciudadana 9.	7
	Historia :	4
Sábato, Ernesto	El túnel.	5
Denevi, Marco	Rosaura a la diez.	5
Echeverría, María Julia	Geografía :	4
Echeverría, María Julia	Geografía :	3
García Márquez, Gabriel	Crónica de una muerte anunciada.	6
Arrueta, Julio César	Noticias en la piel.	1
Rodríguez, Eduardo	Ascensor.	1
	Construir futuro con trabajo decente :	1
Noriega, Sergio	Entrenador en lógica programada.	1
Alegría, Mónica	Pila de combustible.	1
Pizarro, Sergio	Biodigestor.	1
Cano, Jorge	Entorno de desarrollo para microcontroladores.	1
Drudi, Susana	Relevador de las características de componentes semiconductores.	1
Rodríguez, Eduardo E	Instalación sanitaria de una vivienda.	1
Foppoli, Mariano	Cargador semiautomático para máquinas a CNC de accionamiento electroneumático.	1
Estevez, Marcelo	Equipamiento para el análisis de estructuras de edificios.	1
Schiappacasse, Eduardo Antonio	Biorreactor para la producción de alimentos.	1
	Universidad Nacional de Tucumán.	1
Parrot, André	¿Qué es la arqueología?	1
Mitre, Bartolomé	Episodios de la Revolución.	1
López, Vicente Fidel	La gran Semana de Mayo.	1
Lacau, María Hortensia	Antología 2.	3
Jaffe, Bernard	La química crea un mundo nuevo.	2
Murguiondo, Delia	Poemario.	2
Sábato, Ernesto	El túnel.	1
Sábato, Ernesto	El túnel.	1
Loprete, Carlos Alberto	Lengua y literatura 3.	8
García Saez, A	Lengua y literatura.	1
Loprete, Carlos Alberto	Lengua y literatura 2.	7
Loprete, Carlos Alberto	Lengua y literatura.	6
Torres, Federico	Ortografía para todos.	1
Pucci, Julia Marta	Ortografía funcional.	1
Lacau, María Hortensia	Nuevo castellano 1 :	1
Lacau, María Hortensia	Nuevo castellano 1 :	1
Molinelli Wells, Josefina A	My english book :	2
Lacau, María Hortensia	Nuevo castellano 2.	12
Molinelli Wells, Josefina A	My english book :	7
Molinelli Wells, Josefina A	My english Book :	1
Risso de Sperber, Elsa	Cuaderno de la lengua I :	1
Risso de Sperber, Elsa	Cuaderno de la lengua II :	3
Risso de Sperber, Elsa	Cuaderno de la lengua III :	1
Alliende, Felipe	Comprensión de la lectura 3.	2
Rizzi de Soto, Laura	Lengua y literatura 2 :	1
Rizzi de Soto, Laura	Antología literaria 1 :	1
Risso de Sperber, Elsa	Cuaderno de redacción, sintaxis y ortografía I.	1
Melville, Herman	Moby Dick.	2
Dickens, Charles	David Copperfield.	1
Carroll, Lewis	Alicia tras el espejo.	1
Bach, Richard	Ilusiones.	2
Bach, Richard	Ilusiones.	1
Bearwood, Lynette	A first course in technical english :	1
Hicks, David	Foundations of English for foreign students :	1
Schiffrin, R. S. de	English my second language.	1
Saint-Exupéry, Antoine de	El principito.	2
Carroll, Lewis	Alicia en el país de las maravillas.	1
Chedrese Lachat, Maximiliano	Y todo lo demás también.	1
Ortiz, Mariano	Espectros.	1
Borges, Jorge Luis	El Aleph.	2
Obligado, Rafael	Santos Vega y otras leyendas argentinas.	5
Ferry, Odette	Sissí frente a su destino.	1
García Márquez, Gabriel	Cien años de soledad.	1
Murillo, José	Brunita.	9
Murillo, José	Brunita.	2
Amicis, Edmondo de	Corazón.	1
Amicis, Edmondo de	Corazón.	1
Bornemann, Elsa Isabel	Cuadernos de un delfín.	1
Bornemann, Elsa Isabel	Cuadernos de un delfín.	1
Twain, Mark	Aventuras de Tom Sawyer.	2
Hernández, José	Martín Fierro.	2
Hernández, José	Martín Fierro.	2
Bornemann, Elsa Isabel	Cuadernos de un delfín.	1
Campo, Estanislao del	Fausto.	3
Gauffin, Federico	Los dos nidos.	1
	Dieciseis cuentos argentinos.	2
Verne, Julio	Viaje al centro de la tierra.	1
Feydeau, Georges	La pulga en la oreja.	1
	La vida de Lazarillo de Tormes y de sus fortunas y adversidades.	1
Twain, Mark	El billete de un millón.	1
Pérez Galdós, Benito	Marianela.	1
Cané, Miguel	Juvenilia.	3
Mallagray, Carlos Fernando	Cuántos vientos.	1
Furtado, Celso	Análisis del modelo brasileño.	1
Levene, Gustavo Gabriel	Niñez en Catamarca.	1
Kipling, Rudyard	Capitanes intrépidos.	5
Maggi, Tito	Pilpintos.	1
Fidalgo, Andrés	El teatro en Jujuy.	1
Fernández, Francisco J	Los cuentos del hurón.	2
Isaacs, Jorge	María.	3
Cupit, Aarón	Ovniaventuras.	1
Verne, Julio	La vuelta al mundo en ochenta días.	1
Morilla De Campbell, Julia	Adiós Canopus :	1
Juan Manuel	El Conde Lucanor.	1
Marías, Julián	Ensayos de convivencia.	1
Nervo, Amado	Poesías completas.	1
Cervantes Saavedra, Miguel de	El Ingenioso Hidalgo Don Quijote de la Mancha.	1
Cervantes Saavedra, Miguel de	El ingenioso hidalgo don Quijote de la Mancha.	1
Espinosa, Julio	El hombre de barro.	1
Bornemann, Elsa Isabel	El niño envuelto.	1
Ábalos, Jorge Washington	Shunko.	2
Accame, Jorge	Día de pesca.	1
Güiraldes, Ricardo	Don Segundo Sombra.	1
Murillo, José	Cinco patas.	2
Isaacs, Jorge	María.	1
Sarmiento, Domingo Faustino	Facundo.	2
Sarmiento, Domingo Faustino	Facundo.	1
Defoe, Daniel	Robinson Crusoe.	1
Stevenson, Robert Louis	La isla del Tesoro.	1
Cané, Miguel	Juvenilia.	2
	Obra poética de Martín Raúl Galán.	1
Sánchez, Florencio	M'hijo el dotor.	1
Twain, Mark	Aventuras de Huck Finn.	2
Payró, Roberto Jorge	Pago Chico y Nuevos cuentos de Pago Chico.	1
Villafañe, Javier	Cuentos con pájaros.	1
Obligado, Rafael	Santos Vega.	1
Fernández de Moratín, Leandro	El sí de las niñas.	2
Fernández de Moratín, Leandro	El sí de las niñas.	2
Bossi, Elena	Seres mágicos.	2
Raone, Juan Mario	Fortines del desierto :	3
Pérez Galdós, Benito	Marianela.	1
London, Jack	La llamada de la selva.	1
Bécquer, Gustavo Adolfo	Rimas y leyendas :	1
Loprete, Carlos Alberto	Literatura española :	10
Loprete, Carlos Alberto	Literatura española :	1
Loprete, Carlos Alberto	Literatura española :	1
Gil, Nilda Noemí	Literatura española :	1
Campero, Rodolfo Martín	El Marqués de Yavi :	1
Ikeda, Daisaku	La revolución humana 2.	1
Vázquez de Fernández, Silvia	Ciencias Sociales 8.	6
Bornemann, Elsa Isabel	Cuadernos de un delfín.	1
Loprete, Carlos Alberto	Literatura hispanoamericana y argentina.	5
Pérez Galdós, Benito	Misericordia.	2
Cholvis, Francisco	Contabilidad :	1
Cholvis, Francisco	Contabilidad :	1
Cholvis, Francisco	Contabilidad :	1
Cholvis, Francisco	Contabilidad :	1
	Diccionario A-Z de síntomas y términos médicos.	1
Picoli, Ángel M. E	Elementos de contabilidad :	1
Picoli, Ángel M. E	Elementos de contabilidad :	1
Picoli, Ángel M. E	Elementos de contabilidad :	1
Veiravé, Alfredo	Literatura hispanoamericana y argentina.	4
Loprete, Carlos Alberto	Literatura española, hispanoamericana y argentina.	1
Loprete, Carlos Alberto	Literatura española, hispanoamericana y argentina.	1
Sánchez, Florencio	M'hijo el dotor.	2
Lescano, Marta	Para comunicarnos :	2
Lescano, Marta	Para comunicarnos :	2
Lescano, Marta	Para comunicarnos :	2
Danilevsky, V	Historia de la técnica :	1
Borges, Jorge Luis	Ficciones.	1
Guillot, René	Tres niñas y un secreto.	1
Ascasubi, Hilario	"Santos Vega y otros poemas ;"	1
Sábato, Ernesto	La resistencia.	3
	El libro del Congreso 2004 :	2
Cano, Fernanda	Prácticas de lectura y escritura :	3
Pasman, M. F	Materiales de construcción.	1
Cuesta, Carolina	Prácticas de lectura y escritura :	1
	El libro del Congreso 2003 :	3
	Anuario 2000-04 de estadísticas universitarias.	1
	Código Penal :	1
	Primeras jornadas de extensión.	1
	Treinta ejercicios de memoria :	1
Hernández, José	Martín Fierro.	2
Hernández, José	Martín Fierro.	2
Hernández, José	Martín Fierro.	2
Hernández, José	Martín Fierro.	2
Groppa, Néstor	Abierto por balance :	1
Quino	Mafalda.	1
	Tartas y empanadas dulces y saladas.	1
Blanco, María Soledad	El fracaso :	1
Atanasiu, Andrés Homero	Los restos del naufragio.	1
Castilla, Leopoldo	Versión de la materia.	1
Balart de Vallejo, Erica	Cuentos del Noroeste Argentino.	9
Accame, Jorge	Cuentos de Jujuy.	3
Accame, Jorge	Cartas de amor.	3
	Química I.	3
Escalona, Héctor	QuimCom :	1
Babor, Josepch A	Química general moderna :	1
García, Apolinar Edgardo	Organización del comercio y de la empresa.	1
Basirico, José Adolfo	Curso gradual de mecanografía y correspondencia comercial.	1
Casona, Alejandro	Los árboles mueren de pie.	3
Denevi, Marco	Rosaura a las diez.	1
Fray Mocho	En el mar austral.	1
Ingenieros, José	Los tiempos nuevos.	1
Fueyo Casado, Luis	Equipos de trituración, molienda y clasificación :	1
Ingenieros, José	Tratado del amor.	1
Maspero de Hadad, Ana M	Biología.	1
Bonaterra, Ramón	Química y elementos de físico-química.	1
Sarrailh, Efi E. O. de	Geografía de la Argentina.	3
Lorenzini, Horacio N	Geografía de América y de Antártida.	3
Alemán, Elida Elba	Geografía :	1
Alemán, Elida Elba	Geografía :	5
Alemán, Elida Elba	Geografía :	3
Alemán, Elida Elba	Geografía :	2
Alemán, Elida Elba	Geografía :	1
Boido, Guillermo	Noticias del planeta Tierra :	1
Rosenberg, Raquel	Microeconomía.	1
Bertone de Daguerre, Celia M.	Geografía de América.	3
Echeverría, María Julia	Geografía :	5
Lorenzini, Horacio N	Geografía 2 :	1
Lorenzini, Horacio N	Geografía 2 :	2
Lorenzini, Horacio N	Geografía 1 :	3
Bertone de Daguerre, Celia M.	Geografía general.	1
Lorenzini, Horacio N	Geografía :	2
Álvarez, Adela	Geografía :	2
Quarleri, Paulina	Geografía de Europa y Oceanía.	1
Doerr, Arthur H	Fundamentals of Physical Geography.	1
Rampa, Alfredo César	Geografía :	2
Daus, Federico A	Geografía de América, Argentina-Antártida.	5
Serrano Redonnet, María Luisa O. de	Literatura V :	1
Díaz Ayarza, Luis	Curso de química del petróleo.	1
Le Roux, C. Emilio A	Curso de elementos de mecánica de suelos.	1
Llosa, Manuel B	Curso de explotación de minas :	1
Diez, Ernesto	Curso de higiene y seguridad minera.	1
Morrow, Alexander E	Aparatos y equipo auxiliar de salvamento para minas :	1
Alonso, Ricardo N	Minería :	7
	Fundamentos de la teoría y la práctica de empleo de reactivos de flotación.	1
Rampa, Alfredo César	Geografía americana y argentina.	1
Rampa, Alfredo César	Geografía 3 :	2
Rampa, Alfredo César	Geografía americana y argentina.	14
Dagnino Pastore, Lorenzo	Geografía para II año ciclo básico.	3
Dagnino Pastore, Lorenzo	Geografía para III año ciclo básico.	1
Miguel, Carlos R	Elementos de física y química :	1
Dassis, Alberto Antonio	Geografía 3er. año :	1
Dagnino Pastore, Lorenzo	Geografía para I año ciclo básico.	1
Dagnino Pastore, Lorenzo	Geografía para I Año ciclo básico.	1
Martonne, Emm. De	Tratado de geografía física.	1
Pavicich, Mónica Beatriz Luisa	Geografía 1.	3
Bertoncello, Rodolfo	Geografía 1 :	2
Bertoncello, Rodolfo	Geografía 2 :	1
Bertoncello, Rodolfo	Geografía 3 :	1
Dobrin, Milton Burnett	Introduction to geophysical prospecting.	1
Vilela, César Reinaldo	Hidrogeología.	1
Miguel, Carlos R	Curso de física V :	1
Singer, Francisco L	Tratado de electricidad.	4
Singer, Francisco L	Tratado de electricidad :	4
Singer, Francisco L	Tratado de electricidad :	2
Singer, Francisco L	Tratado de electricidad :	5
Singer, Francisco L	Tratado de electricidad :	2
Singer, Francisco L	Tratado de electricidad :	5
Zeuner, Frederick E	Geocronología :	3
Alonso, Marcelo	Física.	1
Alvarenga Alvares, Beatriz	Física general :	1
Alvarenga Alvares, Beatriz	Física general :	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Cantu, César	Historia universal.	1
Wurschmidt, José	Física experimental :	1
Wurschmidt, José	Física experimental :	2
Wurschmidt, José	Apuntes de física teórica.	1
Loyarte, Ramón G	Física general :	1
Lob, Udo	Aplicaciones del diodo.	1
Rieger, Heinz	Potencia y trabajo de la corriente alterna.	1
Paeg, Heinz	Corrección del factor de potencia cos.	1
Weiske, Wolfgang	Corriente trifásica .	1
Gaus, Hans Joachim	Potencia de la corriente trifásica y su medición.	1
Nessler, Herbert	Constitución y funcionamiento del transformador.	1
Rieger, Heinz	El circuito de corriente alterna.	1
Seifert, Walter	Generador y motor :	1
Gelder, Erich	El transistor.	1
Gelder, Erich	El transistor como amplificador de BF.Fases previas.	1
Gelder, Erich	El transistor como amplificador de BF.Paso final.	1
Weiske, Wolfgang	Funcionamiento del Tiristor.	1
Weiske, Wolfgang	Curvas características del tiristor.	1
Weiske, Wolfgang	Aplicaciones del tiristor.	1
Benda, Hansjochen	Funcionamiento del triac.	1
Paeg, Heinz	El condensador.	1
Schober, Peter	Generadores Hall.	1
Steidle, Hans-Gunther	Elementos magnetorresistivos.	1
Miguel, Carlos R	Curso de física.	1
	Física I :	3
Chapman, Philip	El libro de la electricidad .	1
Walpole, Brenda	Luz.	1
Maiztegui, Alberto P	Introducción a la física 2.	1
Miguel, Carlos R	Curso de física.	1
Broglie, Louis de	La física nueva y los cuantos.	1
Miguel, Carlos R	Física :	1
Stevenazzi, David N. J	Termodinámica.	2
Facorro Ruiz, Lorenzo	Curso de termodinámica.	2
Mahan, Bruce H	Termodinámica química elemental.	3
Taggart, Arthur F	Elementos de preparación de minerales.	2
Stapelfeldt, H	Fundamentos de la electrotecnia :	1
Cantu, César	Historia universal.	1
	Literatura española :	1
	Literatura española, argentina e hispanoamericana.	1
Serrano Redonnet, María Luisa O. de	Literatura IV :	1
	Literatura Argentina e Hispanoamericana.	2
Bavink, B	Introducción a la química general.	1
Briuolo, Paula	Química :	2
Alonso García, Pablo	Química COU.	1
Milone, Jorge Osvaldo	Química básica.	1
Pimentel, George C	Oportunidades en la química :	1
Hotchkiss, William	Minerals of Might.	1
Schmidt, Walther	Geografía económica.	6
Sievers, Wilhelm	Geografía de Ecuador, Colombia y Venezuela.	1
Sievers, Wilhelm	Geografía de Bolivia y Perú.	1
Dagnino Pastore, Lorenzo	Geografía económica y política argentina.	1
Codner, Darío Gabriel	Física Química.	3
Rivero, Francisco R	Elementos de física y química.	5
Rivero, Francisco R	Elementos de física y química.	1
Vidal, Jorge	Ciencias físico-químicas.	1
Ezama Sancho, Eduardo	Química de los explosivos.	1
Rampa, Alfredo César	Historia :	1
Carlevari, Isidro J. F	Geografía económica, mundial y argentina.	1
Carlevari, Isidro J. F	La Argentina :	3
Olive, Emilio R	Elementos usuales de las ciencias fisico-químicas.	1
Lorenzini, Horacio N	Geografía :	1
Lorenzini, Horacio N	Geografía :	2
Lorenzini, Horacio N	Geografía :	1
Moore, Preston L	Técnica de la perforación de pozos.	1
Zoccola, Eleo Pablo	Río Turbio :	4
	La industria del petróleo.	1
Feirer, John L	Trabajos en metal.	1
Perry, John H	Manual del ingeniero químico.	1
Avner, Sydney	Introducción a la metalurgia.	1
Vázquez de Tapia, Nelly	Matemática 3 :	3
Vázquez de Tapia, Nelly	Matemática 2 :	5
Guiñazú, Alfredo	Castellano :	1
Bradley, John Hodgdon	Autobiography of Earth.	1
Reeds, Chester A	The Earth.	1
Fernández Serventi, Héctor	Química general e inorgánica :	1
Dagnino Pastore, Lorenzo	Geografía económica.	1
Magnetti, Renée César	Elementos de física y química 3.	1
Magnetti, Renée César	Elementos de física y química :	1
Gellert, Christian	Aprenda electricidad en 15 días.	1
Biasioli, Gladys D. A. de	Merceología 1.	1
Ballivian Calderon, René	Principios de economía minera.	2
Quargnolo, Jorge	Atlas del potencial argentino.	1
Acevedo Díaz, Eduardo	La República Argentina.	28
Martín, Susana	Tomsis, muchacho extraterrestre.	1
Knigth, Charles R	Before the dawn of history.	1
	Guía CIIE de la Minería Argentina Vol.I.	1
Perincioli de Rampa, Hilda	La Tierra :	1
Cibotti, Ema	Ciencias Sociales :	1
Dagnino Pastore, Lorenzo	Geografía :	1
	Geografía de la República Argentina :	1
	Geografía de la República Argentina :	1
	Geografía de la República Argentina :	1
	Geografía de la República Argentina :	1
Astolfi, José C	Síntesis de historia moderna y contemporánea.	16
	Geografía de la República Argentina :	1
	Geografía de la República :	1
Gatti, Carlos J	América :	6
Astolfi, José C	Historia 2 :	4
Astolfi, José C	Historia moderna y contemporánea.	17
Astolfi, José C	Instituciones políticas y sociales de América hasta 1810 :	2
	Catálogo básico de neumática.	1
Cortes, Graciela D. de	Matemática 1.	2
	Selection Guide for Process Equipment.	1
Alemán, Elida Elba	Geografía general y regional :	1
Lorenzini, Horacio N	Geografía segundo curso :	1
Lorenzini, Horacio N	Geografía segundo curso :	3
Vázquez de Tapia, Nelly	Matemática 2.	2
Vázquez de Tapia, Nelly	Matemática 1.	3
Gaspar, María del Pilar	Lengua 1 :	2
Gaspar, María del Pilar	Lengua 2 :	2
Gaspar, María del Pilar	Lengua 3 :	2
Bahamonde, Nora	Ciencias naturales 1 :	1
Bahamonde, Nora	Ciencias naturales 2 :	1
Bahamonde, Nora	Ciencias naturales 3 :	1
Zilberman, Graciela	Matemática 1 :	1
Zilberman, Graciela	Matemática 2 :	1
Zilberman, Graciela	Matemática 3 :	1
Ajon, Andrea	Ciencias sociales :	1
Ajon, Andrea	Ciencias sociales 2 :	1
Ajon, Andrea	Ciencias sociales 3 :	1
Serulnicoff, Adriana	Juegos y juguetes :	1
Vázquez de Tapia, Nelly	Matemática :	3
Vázquez de Tapia, Nelly	Matemática 1 :	4
Hernández, José	Martín Fierro.	1
Pasel, Susana	Educación cívica 3.	3
Carrillo, Joaquín	Descripción de la provincia de Jujuy :	4
Fleitas, María Silvia	El pensamiento político y económico de Benjamín Villafañe.	1
Pasel, Susana	Educación cívica 3.	1
	Educación cívica 3.	3
Coelho, Paulo	El alquimista.	1
	Diccionario panhispánico de dudas.	1
	Ser docente en Jujuy :	3
Rojas, Ricardo	Himnos quichuas.	4
	Primer Certamen Literario Premio Universidad Nacional de Jujuy.	2
	Segundo Certamen Literario Premio Universidad Nacional de Jujuy.	2
Undiano, Mónica	Huellas.	2
Postigo de De Bedia, Ana María	Diccionario de latinismos y cultismos de origen latino en la administración pública.	2
	Registro de voces kechwas vigentes en el discurso coloquial norteño.	2
Guerci de Siufi, Beatriz	Pensando la Universidad.	2
Bergesio, Liliana	Historia y antropología :	3
Teruel, Ana	Jujuy en la historia :	2
Terron De Bellomo, Herminia	Condición femenina y escritura :	3
Lorenzini, Horacio N	Geografía económica :	2
Drago, Alfredo L	Educación Cívica 2.	16
Nordenskiold, Erland	Lugares precolombinos de asentamiento y entierro en la frontera sudoeste del Chaco.	3
Teruel, Ana	Fronteras, ciudades y estados :	2
Hansen, Eduardo Willam	Ganadería bovina de raza criolla en el Noroeste Argentino.	4
	Al cabo de los noventa :	2
Lasserre de Perassi, Ana	Vectores, recta y plano.	2
Tizón, Héctor	Tierras de frontera.	1
Carrizo, Jesús María	Refranerillo de la alimentación del Norte Argentino.	2
Buitrago, Luis Guillermo	Potencial eólico de la Quebrada y Puna Jujeña.	2
	25 años de la Universidad Jujeña :	6
Pasel, Susana	Educación cívica 1.	6
Vázquez de Fernández, Silvia	Ciencias Sociales 7.	2
Schevin-Tejera, Geneviéve M	Diccionario moderno de informática :	1
	Las organizaciones no gubernamentales de la Provincia de Jujuy :	3
Zarur, Pedro	Biología 2.	1
Polti, María V	Dibujo 1.	7
Polti, María V	Dibujo 2.	6
Polti, María V	Dibujo 3.	5
Etchebarne, Roberto Esteban	Dibujo técnico I.	1
Cerri, Daniel	El territorio de Los Andes.	2
Astolfi, José C	Historia :	23
Sommariva, F. G	Lecciones de historia americana y argentina.	13
Astolfi, José C	Síntesis de historia antigua.	1
Trevisan, Héctor	Manual de historia de la antigüedad :	2
Astolfi, José C	Síntesis de historia de Oriente y Grecia.	3
Brennan, James G	Las operaciones de la ingeniería de los alimentos.	1
Hayes, George D	Manual de datos para ingeniería de los alimentos.	1
Earle, R. L	Ingeniería de los alimentos :	1
Board, R. G	Introducción a la microbiología moderna de los alimentos.	2
Salinas, Rolando	Alimentos y nutrición :	1
Crueger, Wulf	Biotecnología :	2
Silva Rodríguez, Francisco	Tecnología industrial 1 :	1
Fellows, Peter	Tecnología del procesado de los alimentos.	1
Frazier, W. C	Microbiología de los alimentos.	2
Echeverría, Esteban	La cautiva.	3
Echeverría, Esteban	La cautiva.	1
Poe, Edgar Allan	El escarabajo de oro.	6
Ferraro, Carlos Alfonso	Don Cucha.	2
Hernández, José	Martín Fierro.	1
Mistral, Gabriela	Páginas en prosa.	3
Accame, Jorge	Golja Casato.	2
Accame, Jorge	Punk y circo.	2
Vázquez de Fernández, Silvia	Historia 2 :	6
Bustinza, Juan Antonio	Historia 2 :	4
Malet, Albert	Grecia.	1
Rowling, J. K	Harry Potter y la piedra filosofal.	3
Tolkien, J. R. R	El señor de los anillos :	2
Haber, A	Historia antigua y medieval.	2
Hubeñak, Florencio F	Historia 1.	11
Ramallo, Jorge María	Manual de historia moderna y argentina.	1
Díaz de Tuesta, Patricia	Historia 1 :	28
Hawkey, Raymond	Evolución :	2
Casillas, A. L	Máquinas :	1
Reynoso, Liliana	Física EGB3.	2
Vidarte, Laura	Química :	1
	La Universidad Nacional de San Juan :	1
Vázquez de Fernández, Silvia	Historia 3 :	7
	La Universidad Nacional de San Juan :	1
Murcia Viudas, Andrés	Aguas subterráneas :	1
	Personalidades del Siglo XX.	1
Drago, Alfredo L	Educación Cívica 3.	3
Cosmelli Ibañez, José	Historia 2 :	10
Cosmelli Ibañez, José	Síntesis de historia 2 :	5
	Educación cívica :	4
Drago, Alfredo L	Educación cívica 3 :	1
	Formación ética y ciudadana :	2
	Formación ética y ciudadana :	1
	Formación ética y ciudadana :	1
	Historia de la Argentina contemporánea.	6
Sabsay, Daniel Alberto	Educación cívica 3.	1
Abad Pascual, Juan J	La vida moral y la reflexión ética.	1
Drago, Alfredo L	Educación cívica 3 :	1
	Literatura y lengua 1 :	5
	Manual de galvanotecnica.	1
Hurlbut, Cornelius S	Manual de mineralogía de Dana.	1
Betejtin, A	Curso de mineralogía.	1
Castillo, Carlos	Diccionario de la Universidad de Chicago inglés-español y español-inglés.	1
Partington, J. R	Química general e inorgánica.	1
Riccardi, Riccardo	Objetivo: riesgo cero :	1
Barba, Alvaro Alonso	Arte de los metales.	1
López Sosa, María Teresa	Ambiente y trabajo.	1
García, Apolinar Edgardo	Derecho administrativo y legislación fiscal.	1
Alexandre, Mario	Instrucción cívica.	1
Volta, Alejandro	La invención de la pila eléctrica.	1
	Diccionario inglés-castellano.	1
Cuyás Armengol, Arturo	Diccionario inglés-español.	1
Eshbach, Ovid W	Handbook of Engineering Fundamentals.	1
Trefil, James S	De los átomos a los quarks.	2
Tusiani, Mario Oscar	Seguridad e higiene industrial.	1
Capello, Edoardo	Tecnología de la fundición.	1
Alemán, Elida Elba	Geografía :	1
	Flotation :	1
Mendez, V	Geología de la Región Noroeste, Provincias de Salta y Jujuy :	1
Scheiner, B. J	Biotechnology in Minerals and Metal Processing.	1
Berl, Ernst	Métodos de análisis químico industrial.	1
Ullmann, Fritz	Enciclopedia de química industrial :	1
Ullmann, Fritz	Enciclopedia de química industrial :	1
Ullmann, Fritz	Enciclopedia de química industrial :	1
Ullmann, Fritz	Enciclopedia de química industrial :	1
Ullmann, Fritz	Enciclopedia de química industrial :	1
Azorín	Los pueblos.	1
Henríquez Ureña, Pedro	Plenitud de España :	1
Alonso, María Ernestina	Historia :	2
Alonso, María Ernestina	Historia :	2
Pappola, Romeo	Tratado de ortografía española.	1
Irazusta, Julio	Influencia económica británica en el Río de la Plata.	1
Azorín	Valencia.	1
Azorín	Castilla.	1
	Genio y figura de Benito Lynch.	1
Muller, Erich	Manual práctico de electroquímica.	1
Molins, Jaime	El estaño, fundamento vital de Bolivia.	1
Drago, Alfredo L	Educación cívica 1.	3
Cortázar, Julio	Rayuela.	1
Pérez Aguilar, Graciela Elsa	Lengua y literatura 3.	3
Aceñolaza, Florencio Gilberto	Geología del Noroeste Argentino.	1
Boltovskoy, Demetrio	Atlas del zooplancton del Atlántico Sudoccidental y métodos de trabajo con el zooplancton marino.	1
Pasman, M. F	Dibujo técnico :	1
	Flotation :	1
	Suelos salinos y sódicos.	1
Bustinza, Juan Antonio	Historia 1 :	2
Pasel, Susana	Educación Cívica 2.	5
	Educación cívica :	1
	Educación cívica 2 :	3
